,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
216,2019,218,T19TCJ,S30,0.95102096,0.017514482,30.2,US-Bar
217,2019,238,T19TCJ,S30,0.9462956,0.022156307,35.81,US-Bar
218,2019,248,T19TCJ,S30,0.9565777,0.0155698545,39.06,US-Bar
219,2019,263,T19TCJ,S30,0.94515896,0.02278711,44.300000000000004,US-Bar
220,2019,278,T19TCJ,S30,0.9244514,0.039491877,49.78,US-Bar
221,2019,288,T19TCJ,S30,0.80895865,0.10875792,53.4,US-Bar
222,2019,308,T19TCJ,S30,0.87002236,0.07153655,60.09,US-Bar
223,2020,123,T19TCJ,S30,0.74194187,0.11215822,30.41,US-Bar
224,2020,128,T19TCJ,S30,0.774008,0.10168533,29.03,US-Bar
225,2020,143,T19TCJ,S30,0.9072294,0.050497215,25.77,US-Bar
226,2020,168,T19TCJ,S30,0.95199627,0.017751686,23.55,US-Bar
227,2020,173,T19TCJ,S30,0.9554307,0.013027963,23.61,US-Bar
228,2020,188,T19TCJ,S30,0.95703006,0.012914162,24.67,US-Bar
229,2020,213,T19TCJ,S30,0.9521211,0.01920284,28.97,US-Bar
230,2020,233,T19TCJ,S30,0.95655525,0.017642362,34.22,US-Bar
231,2020,248,T19TCJ,S30,0.9543288,0.01772563,38.97,US-Bar
232,2020,253,T19TCJ,S30,0.9479859,0.020642372,40.68,US-Bar
233,2020,263,T19TCJ,S30,0.9458362,0.02304938,44.22,US-Bar
234,2020,283,T19TCJ,S30,0.8888644,0.065080106,51.51,US-Bar
235,2020,288,T19TCJ,S30,0.8410216,0.09052159,53.31,US-Bar
236,2020,313,T19TCJ,S30,0.8615157,0.07044558,61.5,US-Bar
